time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1705849932727000000,15.329,45,1.5,2.0892789363861084,116.0999984741211,0.29592546820640564,77.3226547241211,108.71976394647233,2.3107357,48.8348681
1705849936794000000,19.395999755859375,0,1.5,15.092809677124023,116.0999984741211,0.03175878897309303,0,105.49208760811685,2.3106497,48.8348487
1705849942731000000,25.333,45,1.5,8.815447807312012,20.56800079345703,0.899528443813324,76.64717864990234,103.5,2.310865,48.8348853
1705849946301272800,28.90327294921875,45,1.5,8.367682456970215,29.066999435424805,0.7382439970970154,68.17964935302734,103.5,2.3108941,48.8348963
1705849946887752000,29.489751953125,45,1.5,8.367682456970215,31.908000946044922,0.6575925350189209,63.665897369384766,103.5,2.3108903,48.8348985
1705849947474230800,30.076230712890624,45,1.5,8.380684852600098,37.599998474121094,0.589202880859375,60.55579376220703,103.5,2.3108897,48.8349004
1705849948060709400,30.66270947265625,45,1.5,8.380684852600098,37.630001068115234,0.5377240180969238,57.68044662475586,103.5,2.3108877,48.8349013
1705849948647187500,31.2491875,45,1.5,8.392685890197754,37.67399978637695,0.48315685987472534,55.0920295715332,103.5,2.3108877,48.8349027
1705849949233665500,31.83566552734375,45,1.5,4.0078511238098145,37.70100021362305,0,350.6004943847656,103.20000457763672,2.3108748,48.8349021
1705849951578506500,34.18050659179688,45,1.5,4.025857925415039,34.12799835205078,0.1538175493478775,165.30902099609375,103.20000457763672,2.3108835,48.8348803
1705849952078558200,34.68055810546875,45,1.5,4.025857925415039,30.589000701904297,0.1516859382390976,163.51901245117188,103.20000457763672,2.3108842,48.8348798
1705849952635230700,35.23723071289062,45,1.5,4.040853500366211,27.073999404907227,0.13413213193416595,162.1694793701172,103.20000457763672,2.3108847,48.8348793
1705849953221706800,35.82370678710937,45,1.5,4.040853500366211,23.57900047302246,0.10796424746513367,160.6648712158203,103.20000457763672,2.3108846,48.8348797
1705849953808182300,36.41018237304687,0,1.5,4.040853500366211,23.07699966430664,0.067802295088768,0,103.20000457763672,2.3108843,48.8348804
1705849954394657800,36.99665771484375,0,1.5,4.05485200881958,20.233999252319336,0.037203360348939896,0,103.20000457763672,2.3108841,48.834881
1705849954981133300,37.58313330078125,0,1.5,1.875182867050171,19.33099937438965,0.01234821230173111,0,103.30000305175781,2.310884,48.8348816
1705849955567608600,38.169608642578126,0,1.5,1.875182867050171,18.683000564575195,0.013979732058942318,0,103.30000305175781,2.3108839,48.8348822
1705849956154083800,38.756083740234374,0,1.5,1.8728044033050537,18.191999435424805,0.049845632165670395,0,103.30000305175781,2.3108841,48.8348834
1705849956669357000,39.27135717773437,0,1.5,1.8728044033050537,17.589000701904297,0.08156120032072067,0,103.30000305175781,2.3108842,48.8348847
