time_dt,timestamp,position_lat,position_long,distance,accumulated_power,enhanced_altitude,altitude,enhanced_speed,speed,cycle_length16,unknown_88,heart_rate,cadence,fractional_cadence,unknown_90,lat,lon,device,speed_calculated,distance_from_start,speed_filtered,speed_calculated_filtered,seconds
2024-01-21 15:21:03+00:00,2024-01-21 15:21:03+00:00,582733624,27585979,1111.21,65535,48.0,48.0,2.473,2.473,0.0,300,140,81,0.0,,48.84416811168194,2.312230048701167,Garmin Forerunner 735 XT,,0.0,2.44850294117647,,0.0
2024-01-21 15:21:04+00:00,2024-01-21 15:21:04+00:00,582733977,27585854,1113.69,65535,49.0,49.0,2.473,2.473,0.0,300,140,82,0.0,,48.844197699800134,2.3122195713222027,Garmin Forerunner 735 XT,3.3782060372831357,3.3782060372831357,2.469515966386554,3.3782060372831357,1.0
2024-01-21 15:21:05+00:00,2024-01-21 15:21:05+00:00,582734296,27585630,1116.17,65535,49.0,49.0,2.482,2.482,0.0,300,140,82,0.0,,48.84422443807125,2.3122007958590984,Garmin Forerunner 735 XT,3.2752770460220444,6.65348308330518,2.4889203943115694,3.2752770460220444,2.0
2024-01-21 15:21:06+00:00,2024-01-21 15:21:06+00:00,582734634,27585260,1116.17,65535,49.799999999999955,49.799999999999955,2.482,2.482,0.0,300,140,81,0.0,,48.84425276890397,2.3121697828173637,Garmin Forerunner 735 XT,3.882601013425456,10.536084096730637,2.506716224951518,3.882601013425456,3.0
2024-01-21 15:21:07+00:00,2024-01-21 15:21:07+00:00,582734926,27585100,1118.91,65535,50.200000000000045,50.200000000000045,2.501,2.501,0.0,300,142,81,0.0,,48.84427724406123,2.3121563717722893,Garmin Forerunner 735 XT,2.89305632297292,13.429140419703558,2.522903458306398,2.89305632297292,4.0
2024-01-21 15:21:08+00:00,2024-01-21 15:21:08+00:00,582735198,27584857,1121.83,65535,50.39999999999998,50.39999999999998,2.538,2.538,0.0,300,142,81,0.0,,48.84430004283786,2.3121360037475824,Garmin Forerunner 735 XT,2.9408081474637844,16.36994856716734,2.5374820943762106,2.9408081474637844,5.0
2024-01-21 15:21:09+00:00,2024-01-21 15:21:09+00:00,582735563,27584613,1125.46,65535,51.799999999999955,51.799999999999955,2.547,2.547,0.0,300,142,82,0.0,,48.844330636784434,2.312115551903844,Garmin Forerunner 735 XT,3.7165528507678602,20.086501417935203,2.550452133160955,3.7165528507678602,6.0
2024-01-21 15:21:10+00:00,2024-01-21 15:21:10+00:00,582735872,27584370,1128.67,65535,52.200000000000045,52.200000000000045,2.557,2.557,0.0,300,142,82,0.0,,48.844356536865234,2.312095183879137,Garmin Forerunner 735 XT,3.24279652610798,23.329297944043184,2.5618135746606474,3.24279652610798,7.0
2024-01-21 15:21:11+00:00,2024-01-21 15:21:11+00:00,582736138,27584276,1131.06,65535,52.200000000000045,52.200000000000045,2.585,2.585,0.0,300,143,81,0.0,,48.84437883272767,2.312087304890156,Garmin Forerunner 735 XT,2.54534862288108,25.874646566924262,2.5756497737556696,2.54534862288108,8.0
2024-01-21 15:21:12+00:00,2024-01-21 15:21:12+00:00,582736370,27584113,1133.42,65535,52.0,52.0,2.594,2.594,0.0,300,144,81,0.0,,48.84439827874303,2.312073642387986,Garmin Forerunner 735 XT,2.382252151359226,28.256898718283487,2.586056108597299,2.382252151359226,9.0
2024-01-21 15:21:13+00:00,2024-01-21 15:21:13+00:00,582736586,27583916,1135.78,65535,51.60000000000002,51.60000000000002,2.603,2.603,0.0,300,144,81,0.0,,48.84441638365388,2.3120571300387383,Garmin Forerunner 735 XT,2.34796935718285,30.60486807546634,2.593971040723996,2.34796935718285,10.0
2024-01-21 15:21:14+00:00,2024-01-21 15:21:14+00:00,582736776,27583725,1137.89,65535,50.799999999999955,50.799999999999955,2.603,2.603,0.0,300,144,81,0.0,,48.844432309269905,2.3120411206036806,Garmin Forerunner 735 XT,2.1233005463802903,32.72816862184663,2.596533031674222,2.1233005463802903,11.0
2024-01-21 15:21:15+00:00,2024-01-21 15:21:15+00:00,582737004,27583527,1140.35,65535,50.799999999999955,50.799999999999955,2.594,2.594,0.0,300,144,81,0.0,,48.844451420009136,2.312024524435401,Garmin Forerunner 735 XT,2.44757977171034,35.175748393556965,2.596166515837118,2.44757977171034,12.0
