time_dt,time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,lon,lat,device,speed_calculated,distance_from_start,speed_filtered,speed_calculated_filtered,seconds
2024-01-21 15:21:03+00:00,1705850463337386200,545.9393862304687,45.0,1.5,2.6688497066497803,15.461000442504885,2.200528860092163,341.4483642578125,81.28094522622507,2.312145,48.8439576,SensorLogger (Pixel 4 XL),2.1123705499299414,1248.6240218255318,2.2296861571424142,3.110030709958206,0.0
2024-01-21 15:21:04+00:00,1705850463892044800,546.494044921875,45.0,1.5,2.624093770980835,14.871000289916992,2.216431140899658,341.1084899902344,81.22678338989164,2.3121341,48.8439701,SensorLogger (Pixel 4 XL),2.889252334649374,1250.226571636216,2.2357665205202175,2.8142385182933385,1.0
2024-01-21 15:21:05+00:00,1705850464973219600,547.5752194824219,45.0,1.5,2.5684328079223637,15.312000274658203,2.2272427082061768,340.27252197265625,81.11184144037654,2.3121129,48.84399,SensorLogger (Pixel 4 XL),2.6773984428194733,1252.9291676304476,2.239342833705771,2.5701523728776996,2.0
2024-01-21 15:21:06+00:00,1705850466120505000,548.7225051269531,45.0,1.5,1.6386077404022217,16.47599983215332,2.246384859085083,339.5770874023437,82.53898966977609,2.3120888,48.8440157,SensorLogger (Pixel 4 XL),3.235619852508984,1256.2878293279205,2.2404150966990732,2.3777722737112885,3.0
2024-01-21 15:21:07+00:00,1705850467176091400,549.7780913085937,45.0,1.5,1.620235562324524,17.3700008392334,2.293768405914306,339.009033203125,82.32944294187874,2.3120671,48.8440385,SensorLogger (Pixel 4 XL),3.612320781477703,1259.282076999517,2.2389833095001257,2.2370982207941053,4.0
2024-01-21 15:21:08+00:00,1705850467737984800,550.3399848632813,45.0,1.5,1.620235562324524,17.576000213623047,2.3194525241851807,338.82623291015625,82.32944294187874,2.3120587,48.8440466,SensorLogger (Pixel 4 XL),1.9406665628793855,1260.3725258971995,2.2350474721089277,2.14813021412615,5.0
2024-01-21 15:21:09+00:00,1705850468857298200,551.4592980957032,45.0,1.5,1.5899083614349363,18.368000030517575,2.229944229125977,338.58123779296875,82.2449171088436,2.3120392,48.8440669,SensorLogger (Pixel 4 XL),1.8295846516081402,1263.0453884691315,2.2286075845254794,2.110868253707423,6.0
2024-01-21 15:21:10+00:00,1705850469956658000,552.5586579589843,45.0,1.5,1.4913076162338257,18.267000198364254,2.229597330093384,337.92938232421875,82.1583675807427,2.3120083,48.844082,SensorLogger (Pixel 4 XL),1.8953692564864384,1265.870703708799,2.219663646749793,2.125312339537937,7.0
2024-01-21 15:21:11+00:00,1705850470968782300,553.5707822265625,45.0,1.5,1.5861949920654297,18.18000030517578,2.2007837295532227,336.6845703125,82.17760073262966,2.3119821,48.8440967,SensorLogger (Pixel 4 XL),1.5159702108886535,1268.4267377177955,2.198311469565701,2.2311644666921677,8.0
2024-01-21 15:21:12+00:00,1705850472102162400,554.7041623535156,45.0,1.5,1.6010664701461792,18.009000778198242,2.137265920639038,335.59246826171875,82.22011627629303,2.3119529,48.8441203,SensorLogger (Pixel 4 XL),2.630526205781484,1271.8113268124762,2.1753328834723678,2.256540580204736,9.0
2024-01-21 15:21:13+00:00,1705850473275036700,555.8770366210938,45.0,1.5,1.7140984535217283,18.02400016784668,2.1214911937713623,334.74420166015625,82.17405778031011,2.3119337,48.844134,SensorLogger (Pixel 4 XL),1.8517629098502824,1273.8859381853958,2.1518115097581108,2.2632548635625267,10.0
2024-01-21 15:21:14+00:00,1705850473861473800,556.4634738769531,45.0,1.5,1.7209134101867676,17.819000244140625,2.1283178329467773,334.381591796875,82.0262673778665,2.3119208,48.8441463,SensorLogger (Pixel 4 XL),2.833803659016368,1275.5477855017784,2.1328136873461117,2.475461923408404,11.0
2024-01-21 15:21:15+00:00,1705850474971498200,557.5734982910157,45.0,1.5,2.723053455352783,17.301000595092773,2.1301262378692627,334.7313232421875,80.40323619009692,2.3119089,48.8441793,SensorLogger (Pixel 4 XL),2.2197373158238833,1279.3223779053317,2.1257123092720525,2.796580061710543,12.0
2024-01-21 15:21:16+00:00,1705850476089941000,558.6919409179687,45.0,1.5,1.6110693216323853,16.881000518798828,2.1257338523864746,334.8561706542969,81.83748408098984,2.3118918,48.8442114,SensorLogger (Pixel 4 XL),3.6026042961008367,1283.105596590301,2.1429740659791534,2.5450552955557972,13.0
2024-01-21 15:21:17+00:00,1705850477262815700,559.8648156738282,45.0,1.5,1.6109578609466553,16.5,2.137318849563598,335.0157775878906,81.48725921084431,2.3118724,48.8442441,SensorLogger (Pixel 4 XL),4.27154453813986,1287.0100934696638,2.1420652125216293,2.910336359877409,14.0
2024-01-21 15:21:18+00:00,1705850477849253000,560.4512531738281,45.0,1.5,1.4990161657333374,16.312999725341797,2.141082525253296,335.04736328125,81.47308856776924,2.3118683,48.844252,SensorLogger (Pixel 4 XL),1.5828889854919785,1287.9383581376487,2.1315629272978884,3.0503066749236245,15.0
2024-01-21 15:21:19+00:00,1705850478969771500,561.571771484375,45.0,1.5,1.7938990592956543,16.2549991607666,2.153924465179444,334.96893310546875,81.99320725620248,2.3118528,48.8442759,SensorLogger (Pixel 4 XL),2.8526694118705227,1290.827968868932,2.1262319164578307,3.0289884106431852,16.0
2024-01-21 15:21:20+00:00,1705850480077715200,562.6797150878906,45.0,1.5,1.7114856243133545,16.27899932861328,2.177081823348999,335.1757507324219,81.72126812573069,2.3118379,48.8443062,SensorLogger (Pixel 4 XL),3.2799403997244485,1294.3709122172475,2.1262030182920544,3.0281257735422025,17.0
2024-01-21 15:21:21+00:00,1705850481250590000,563.85258984375,45.0,1.5,1.7251360416412354,17.158000946044922,2.183900117874145,335.3262939453125,81.80224368472403,2.3118218,48.8443246,SensorLogger (Pixel 4 XL),2.1721029699483534,1296.7845039523338,2.1340370228927172,2.978867890433218,18.0
2024-01-21 15:21:22+00:00,1705850481837027300,564.43902734375,45.0,1.5,1.7315276861190796,17.756000518798828,2.174638509750366,335.3744201660156,81.83210361785646,2.3118126,48.8443311,SensorLogger (Pixel 4 XL),1.6843182336850593,1297.7722504843414,2.146051565230713,2.7626058881681255,19.0
2024-01-21 15:21:23+00:00,1705850482971076000,565.573076171875,45.0,1.5,1.8970105648040767,18.724000930786133,1.998129963874817,337.5942077636719,82.40292916061412,2.3117499,48.8443253,SensorLogger (Pixel 4 XL),6.974322644499954,1306.5222403189955,2.165211801291602,2.8274072746389347,20.0
2024-01-21 15:21:24+00:00,1705850483997105700,566.5991057128906,45.0,1.5,1.8970105648040767,19.59499931335449,2.09440016746521,337.4828186035156,82.40292916061412,2.3117409,48.8443368,SensorLogger (Pixel 4 XL),1.308768267107846,1307.9611677686685,2.1930066704210773,3.1058365269761383,21.0
2024-01-21 15:21:25+00:00,1705850485118625000,567.720625,45.0,1.5,1.9233152866363523,19.968000411987305,2.2679331302642822,343.2518310546875,84.20000457763672,2.3117331,48.8443663,SensorLogger (Pixel 4 XL),2.4324426049954186,1311.2957566416542,2.2312891525380874,3.4872359684906318,22.0
2024-01-21 15:21:26+00:00,1705850486176663000,568.7786630859375,45.0,1.5,1.9740729331970213,20.687000274658203,2.33807110786438,347.7279968261719,84.20000457763672,2.3117301,48.8443975,SensorLogger (Pixel 4 XL),2.850746313474671,1314.7827797017746,2.276245867612687,3.506767034214878,23.0
2024-01-21 15:21:27+00:00,1705850486763100200,569.3651000976563,45.0,1.5,1.9740729331970213,20.395999908447266,2.3604159355163574,349.4824523925781,84.20000457763672,2.3117291,48.8444159,SensorLogger (Pixel 4 XL),3.4910738898521445,1316.830074600518,2.3275460242146404,3.528137738878386,24.0
2024-01-21 15:21:28+00:00,1705850487935974100,570.5379741210937,45.0,1.5,1.954773187637329,20.108999252319336,2.371934413909912,354.21697998046875,84.20000457763672,2.31174,48.8444424,SensorLogger (Pixel 4 XL),2.9700316505966815,1319.8875322656907,2.384907240889204,3.566406134614792,25.0
2024-01-21 15:21:29+00:00,1705850489108847900,571.7108479003906,45.0,1.5,1.5896848440170288,18.40800094604492,2.4437525272369385,356.5595092773437,83.4000015258789,2.3117525,48.8444974,SensorLogger (Pixel 4 XL),6.189985836752477,1326.071316951545,2.443479126395156,3.3842058072436596,26.0
2024-01-21 15:21:30+00:00,1705850490164434000,572.7664338378906,45.0,1.5,1.5882203578948977,17.065000534057617,2.498900413513184,358.5953063964844,83.4000015258789,2.3117629,48.8445349,SensorLogger (Pixel 4 XL),3.5415915231678796,1330.3101334894202,2.49635043748365,2.844278846390379,27.0
2024-01-21 15:21:31+00:00,1705850491220019700,573.8220197753906,45.0,1.5,1.490546703338623,16.749000549316406,2.5282788276672363,1.3431386947631836,83.4000015258789,2.3117757,48.8445602,SensorLogger (Pixel 4 XL),2.4591454138128754,1333.2797853326292,2.5166489816898805,3.100972478080848,28.0
2024-01-21 15:21:32+00:00,1705850491806456000,574.4084560546875,45.0,1.5,1.490546703338623,17.06999969482422,2.535163640975952,2.56008529663086,83.4000015258789,2.3117826,48.8445696,SensorLogger (Pixel 4 XL),1.9794184830871446,1334.4405875901768,2.523844236917639,2.8343605933595795,29.0
